unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 
PC_HH,AL	98.44 	90.87 	87.15 	85.45 	83.64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,AT	93.15 	95.00 	90.40 	89.91 	88.78 	88.79 	85.09 	82.42 	80.99 	80.86 	79.28 	75.44 	72.89 	69.75 	68.92 	59.62 	52.30 
PC_HH,AT1	93.85 	95.35 	92.02 	91.48 	88.87 	88.91 	85.65 	84.04 	81.59 	80.03 	81.51 	76.49 	73.35 	71.44 	70.66 	62.96 	55.34 
PC_HH,AT11	90.47 	92.86 	87.19 	87.71 	89.85 	85.86 	82.54 	: 	81.76 	79.29 	74.91 	70.46 	71.97 	68.56 	67.20 	: u	51.74 
PC_HH,AT12	91.25 	94.74 	91.65 	91.69 	85.99 	88.86 	82.53 	: 	77.77 	75.64 	78.99 	77.05 	72.61 	69.44 	66.02 	60.87 	52.77 
PC_HH,AT13	96.31 	96.15 	92.95 	91.83 	90.95 	89.36 	88.45 	: 	84.47 	83.49 	84.31 	76.84 	74.10 	73.39 	74.74 	65.27 	57.78 
PC_HH,AT2	92.21 	93.53 	86.41 	86.10 	87.12 	88.81 	82.86 	79.78 	78.47 	79.95 	77.78 	71.48 	71.72 	63.17 	64.74 	54.33 	45.10 
PC_HH,AT21	91.25 	92.24 	87.37 	87.30 	85.21 	85.50 	83.75 	: 	74.90 	76.50 	77.19 	71.78 	68.52 	63.57 	62.35 	51.83 	41.53 
PC_HH,AT22	92.64 	94.12 	85.97 	85.55 	87.99 	90.33 	82.45 	: 	80.14 	81.56 	78.06 	71.35 	73.22 	62.97 	65.87 	55.54 	46.83 
PC_HH,AT3	92.81 	95.41 	90.65 	90.11 	89.61 	88.63 	85.67 	81.84 	81.70 	82.48 	77.29 	76.42 	73.00 	71.48 	69.06 	58.44 	52.47 
PC_HH,AT31	92.25 	95.98 	90.44 	88.68 	89.64 	88.89 	85.81 	: 	80.42 	82.81 	76.80 	76.05 	71.88 	71.58 	69.42 	57.77 	51.98 
