"DATE","TIME PERIOD","Swiss franc/Euro (EXR.M.CHF.EUR.SP00.A) - Modified value (Annual)"
"1999-12-31","1999","1.6004"
"2000-12-31","2000","1.5577"
"2001-12-31","2001","1.5104"
"2002-12-31","2002","1.4672"
"2003-12-31","2003","1.5207"
"2004-12-31","2004","1.5441"
"2005-12-31","2005","1.5483"
"2006-12-31","2006","1.5731"
"2007-12-31","2007","1.6427"
"2008-12-31","2008","1.5871"
"2009-12-31","2009","1.5099"
"2010-12-31","2010","1.3823"
"2011-12-31","2011","1.2340"
"2012-12-31","2012","1.2053"
"2013-12-31","2013","1.2309"
"2014-12-31","2014","1.2146"
"2015-12-31","2015","1.0676"
"2016-12-31","2016","1.0902"
"2017-12-31","2017","1.1115"
"2018-12-31","2018","1.1549"
"2019-12-31","2019","1.1127"
"2020-12-31","2020","1.0703"
"2021-12-31","2021","1.0814"
"2022-12-31","2022","1.0052"
"2023-10-31","2023","0.9753"
