"TIME_PERIOD";"GEO";"ERWP";"ERWL";"POP1564";"UNIT_MEA";"OBS_VALUE";"OBS_CONFIDENCE";"OBS_STATUS"
2010;"CH040";"1";"Total";"Total";"pers";789980;0.6447;"A"
2010;"CH040";"Total";"Total";"Total";"pers";1153705;0.1209;"A"
2010;"CH021";"1";"Total";"Total";"pers";544243;0.8099;"A"
2010;"CH021";"Total";"Total";"Total";"pers";824336;0.1228;"A"
2010;"CH061";"1";"Total";"Total";"pers";213135;0.9522;"A"
2010;"CH061";"Total";"Total";"Total";"pers";310985;0.1490;"A"
2010;"CH062";"1";"Total";"Total";"pers";18534;4.6543;"A"
2010;"CH062";"Total";"Total";"Total";"pers";28915;0.6370;"A"
2010;"CH063";"1";"Total";"Total";"pers";83604;2.1670;"A"
2010;"CH063";"Total";"Total";"Total";"pers";121348;0.3688;"A"
2010;"CH064";"1";"Total";"Total";"pers";20680;4.3438;"A"
2010;"CH064";"Total";"Total";"Total";"pers";29328;0.7588;"A"
2010;"CH065";"1";"Total";"Total";"pers";23357;4.1701;"A"
2010;"CH065";"Total";"Total";"Total";"pers";34624;0.6292;"A"
2010;"CH051";"1";"Total";"Total";"pers";22210;4.4193;"A"
2010;"CH051";"Total";"Total";"Total";"pers";32272;0.8505;"A"
2010;"CH066";"1";"Total";"Total";"pers";64246;1.8100;"A"
2010;"CH066";"Total";"Total";"Total";"pers";93173;0.2883;"A"
2010;"CH022";"1";"Total";"Total";"pers";152990;1.6768;"A"
2010;"CH022";"Total";"Total";"Total";"pers";224578;0.1989;"A"
2010;"CH023";"1";"Total";"Total";"pers";143575;1.7372;"A"
2010;"CH023";"Total";"Total";"Total";"pers";215052;0.2881;"A"
2010;"CH031";"1";"Total";"Total";"pers";93719;2.2268;"A"
2010;"CH031";"Total";"Total";"Total";"pers";153239;0.2977;"A"
2010;"CH032";"1";"Total";"Total";"pers";146640;1.7623;"A"
2010;"CH032";"Total";"Total";"Total";"pers";231553;0.2600;"A"
2010;"CH052";"1";"Total";"Total";"pers";41744;3.3062;"A"
2010;"CH052";"Total";"Total";"Total";"pers";64315;0.5228;"A"
2010;"CH053";"1";"Total";"Total";"pers";29468;3.7145;"A"
2010;"CH053";"Total";"Total";"Total";"pers";44128;0.6258;"A"
2010;"CH054";"1";"Total";"Total";"pers";8571;7.0152;"A"
2010;"CH054";"Total";"Total";"Total";"pers";12814;1.0764;"A"
2010;"CH055";"1";"Total";"Total";"pers";268763;1.2392;"A"
2010;"CH055";"Total";"Total";"Total";"pers";395992;0.1855;"A"
2010;"CH056";"1";"Total";"Total";"pers";109202;1.9882;"A"
2010;"CH056";"Total";"Total";"Total";"pers";162865;0.2853;"A"
2010;"CH033";"1";"Total";"Total";"pers";349067;0.7647;"A"
2010;"CH033";"Total";"Total";"Total";"pers";509900;0.1103;"A"
2010;"CH057";"1";"Total";"Total";"pers";141783;1.2151;"A"
2010;"CH057";"Total";"Total";"Total";"pers";206477;0.2010;"A"
2010;"CH070";"1";"Total";"Total";"pers";160765;1.2769;"A"
2010;"CH070";"Total";"Total";"Total";"pers";281693;0.1448;"A"
2010;"CH011";"1";"Total";"Total";"pers";372451;0.7765;"A"
2010;"CH011";"Total";"Total";"Total";"pers";573030;0.1307;"A"
2010;"CH012";"1";"Total";"Total";"pers";161810;1.7798;"A"
2010;"CH012";"Total";"Total";"Total";"pers";256526;0.2574;"A"
2010;"CH024";"1";"Total";"Total";"pers";88893;1.5465;"A"
