nuts3_code,Year,Canton,Population on 1 January,Population on 31 December,POP
CH040,2007,Zürich,"1,284,052.00","1,307,567.00","1,295.81"
CH021,2007,Bern / Berne,"958,897.00","962,982.00",960.94
CH061,2007,Luzern,"359,110.00","363,475.00",361.29
CH062,2007,Uri,"34,948.00","34,989.00",34.97
CH063,2007,Schwyz,"138,832.00","141,024.00",139.93
CH064,2007,Obwalden,"33,755.00","33,997.00",33.88
CH065,2007,Nidwalden,"40,012.00","40,287.00",40.15
CH051,2007,Glarus,"38,084.00","38,237.00",38.16
CH066,2007,Zug,"107,171.00","109,141.00",108.16
CH022,2007,Fribourg / Freiburg,"258,252.00","263,241.00",260.75
CH023,2007,Solothurn,"248,613.00","250,240.00",249.43
CH031,2007,Basel-Stadt,"184,822.00","185,227.00",185.02
CH032,2007,Basel-Landschaft,"267,166.00","269,145.00",268.16
CH052,2007,Schaffhausen,"73,866.00","74,527.00",74.2
CH053,2007,Appenzell Ausserrhoden,"52,509.00","52,654.00",52.58
CH054,2007,Appenzell Innerrhoden,"15,300.00","15,471.00",15.39
CH055,2007,St. Gallen,"461,810.00","465,937.00",463.87
CH056,2007,Graubünden / Grigioni / Grischun,"187,920.00","188,762.00",188.34
CH033,2007,Aargau,"574,813.00","581,562.00",578.19
CH057,2007,Thurgau,"235,764.00","238,316.00",237.04
CH070,2007,Ticino,"324,851.00","328,580.00",326.72
CH011,2007,Vaud,"662,145.00","672,039.00",667.09
CH012,2007,Valais / Wallis,"294,608.00","298,580.00",296.59
CH024,2007,Neuchâtel,"168,912.00","169,782.00",169.35
CH013,2007,Genève,"433,235.00","438,177.00",435.71
CH025,2007,Jura,"69,292.00","69,555.00",69.42
CH040,2008,Zürich,"1,307,567.00","1,332,727.00","1,320.15"
CH021,2008,Bern / Berne,"962,982.00","969,299.00",966.14
CH061,2008,Luzern,"363,475.00","368,742.00",366.11
CH062,2008,Uri,"34,989.00","35,162.00",35.08
CH063,2008,Schwyz,"141,024.00","143,719.00",142.37
CH064,2008,Obwalden,"33,997.00","34,429.00",34.21
CH065,2008,Nidwalden,"40,287.00","40,737.00",40.51
CH051,2008,Glarus,"38,237.00","38,370.00",38.3
CH066,2008,Zug,"109,141.00","110,384.00",109.76
CH022,2008,Fribourg / Freiburg,"263,241.00","268,537.00",265.89
CH023,2008,Solothurn,"250,240.00","251,830.00",251.04
CH031,2008,Basel-Stadt,"185,227.00","186,672.00",185.95
CH032,2008,Basel-Landschaft,"269,145.00","271,214.00",270.18
CH052,2008,Schaffhausen,"74,527.00","75,303.00",74.92
CH053,2008,Appenzell Ausserrhoden,"52,654.00","53,054.00",52.85
CH054,2008,Appenzell Innerrhoden,"15,471.00","15,549.00",15.51
CH055,2008,St. Gallen,"465,937.00","471,152.00",468.54
CH056,2008,Graubünden / Grigioni / Grischun,"188,762.00","190,459.00",189.61
CH033,2008,Aargau,"581,562.00","591,632.00",586.6
CH057,2008,Thurgau,"238,316.00","241,811.00",240.06
CH070,2008,Ticino,"328,580.00","332,736.00",330.66
CH011,2008,Vaud,"672,039.00","688,245.00",680.14
CH012,2008,Valais / Wallis,"298,580.00","303,241.00",300.91
CH024,2008,Neuchâtel,"169,782.00","170,924.00",170.35
CH013,2008,Genève,"438,177.00","446,106.00",442.14
CH025,2008,Jura,"69,555.00","69,822.00",69.69
CH040,2009,Zürich,"1,332,727.00","1,351,297.00","1,342.01"
CH021,2009,Bern / Berne,"969,299.00","974,235.00",971.77
CH061,2009,Luzern,"368,742.00","372,964.00",370.85
CH062,2009,Uri,"35,162.00","35,335.00",35.25
CH063,2009,Schwyz,"143,719.00","144,686.00",144.2
CH064,2009,Obwalden,"34,429.00","35,032.00",34.73
CH065,2009,Nidwalden,"40,737.00","40,794.00",40.77
CH051,2009,Glarus,"38,370.00","38,479.00",38.42
CH066,2009,Zug,"110,384.00","110,890.00",110.64
CH022,2009,Fribourg / Freiburg,"268,537.00","273,159.00",270.85
CH023,2009,Solothurn,"251,830.00","252,748.00",252.29
CH031,2009,Basel-Stadt,"186,672.00","187,898.00",187.29
CH032,2009,Basel-Landschaft,"271,214.00","272,815.00",272.01
CH052,2009,Schaffhausen,"75,303.00","75,657.00",75.48
CH053,2009,Appenzell Ausserrhoden,"53,054.00","53,043.00",53.05
CH054,2009,Appenzell Innerrhoden,"15,549.00","15,681.00",15.62
CH055,2009,St. Gallen,"471,152.00","474,676.00",472.91
CH056,2009,Graubünden / Grigioni / Grischun,"190,459.00","191,861.00",191.16
CH033,2009,Aargau,"591,632.00","600,040.00",595.84
CH057,2009,Thurgau,"241,811.00","244,805.00",243.31
CH070,2009,Ticino,"332,736.00","335,720.00",334.23
CH011,2009,Vaud,"688,245.00","701,526.00",694.89
CH012,2009,Valais / Wallis,"303,241.00","307,392.00",305.32
CH024,2009,Neuchâtel,"170,924.00","171,647.00",171.29
CH013,2009,Genève,"446,106.00","453,292.00",449.7
CH025,2009,Jura,"69,822.00","70,134.00",69.98
CH040,2010,Zürich,"1,351,297.00","1,368,822.00","1,360.06"
CH021,2010,Bern / Berne,"974,235.00","978,248.00",976.24
