DATAFLOW,LAST UPDATE,freq,unit,wstatus,nace_r2,geo,TIME_PERIOD,EMP,OBS_FLAG
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES111,2000,383.1,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES111,2001,405.7,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES111,2002,419.7,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES111,2003,436.9,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES111,2004,446.4,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES111,2005,459.3,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES111,2006,482.4,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES111,2007,499.8,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES111,2008,501.9,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES111,2009,475.6,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES111,2010,473.9,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES111,2011,463.1,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES111,2012,444.8,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES111,2013,436.2,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES111,2014,434.6,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES111,2015,442.1,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES111,2016,446.7,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES111,2017,451.9,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES111,2018,459.4,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES111,2019,468.8,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES111,2020,449.6,p
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES112,2000,120.5,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES112,2001,123.1,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES112,2002,127.1,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES112,2003,130.6,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES112,2004,135.2,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES112,2005,151.6,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES112,2006,151.9,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES112,2007,152.5,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES112,2008,150.6,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES112,2009,142.9,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES112,2010,142.4,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES112,2011,139.4,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES112,2012,133.8,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES112,2013,128.7,
ESTAT:NAMA_10R_3EMPERS(1.0),2/8/2023 23:00,A,THS,EMP,TOTAL,ES112,2014,130.1,
