DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,GDP MIO_EUR,OBS_FLAG
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH011,2011,40766.5,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH011,2012,43277.13,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH011,2013,42395.35,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH011,2014,44195.28,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH011,2015,50584.31,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH011,2016,52751.26,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH011,2017,49686.69,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH011,2018,50555.14,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH012,2011,14101.29,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH012,2012,14422.6,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH012,2013,14320.73,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH012,2014,14634,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH012,2015,16927.9,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH012,2016,16673.77,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH012,2017,16533.62,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH012,2018,16642.98,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH013,2011,40328.54,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH013,2012,40866.76,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH013,2013,40660.17,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH013,2014,41467.12,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH013,2015,46397.66,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH013,2016,45795.91,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH013,2017,46516.64,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH013,2018,46629.01,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH021,2011,61503.8,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH021,2012,63005.83,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH021,2013,62632.9,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH021,2014,64572.87,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH021,2015,73876.06,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH021,2016,72234.42,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH021,2017,70783.79,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH021,2018,69815.02,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH022,2011,13703.74,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH022,2012,14091.74,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH022,2013,14504.66,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH022,2014,15187.68,
ESTAT:NAMA_10R_3GDP(1.0),21/02/23 23:00:00,A,MIO_EUR,CH022,2015,17268.13,
