DATAFLOW,LAST UPDATE,freq,unit,nace_r2,geo,TIME_PERIOD,GVA,OBS_FLAG
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH011,2011,39684.74,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH011,2012,42218.8,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH011,2013,41409.36,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH011,2014,43250.97,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH011,2015,49580.87,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH011,2016,51762.66,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH011,2017,48828.92,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH011,2018,49822.9,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH012,2011,13727.11,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH012,2012,14069.89,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH012,2013,13987.67,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH012,2014,14321.32,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH012,2015,16592.11,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH012,2016,16361.29,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH012,2017,16248.19,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH012,2018,16401.92,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH013,2011,39258.4,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH013,2012,39867.37,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH013,2013,39714.54,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH013,2014,40581.09,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH013,2015,45477.27,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH013,2016,44937.66,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH013,2017,45713.6,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH013,2018,45953.63,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH021,2011,59871.77,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH021,2012,61465.04,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH021,2013,61176.25,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH021,2014,63193.15,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH021,2015,72410.58,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH021,2016,70880.69,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH021,2017,69561.82,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH021,2018,68803.81,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH022,2011,13340.11,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH022,2012,13747.13,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH022,2013,14167.33,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH022,2014,14863.17,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH022,2015,16925.58,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH022,2016,16624.62,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH022,2017,16612.31,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH022,2018,16412.36,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH023,2011,11190.58,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH023,2012,11757.77,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH023,2013,11742.53,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH023,2014,12165.57,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH023,2015,14422.96,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH023,2016,13940.84,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH023,2017,13837.17,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH023,2018,13951.13,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH024,2011,13429.46,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH024,2012,13948.37,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH024,2013,13890.54,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH024,2014,14337.72,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH024,2015,16332.98,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH024,2016,16098.66,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH024,2017,15962.94,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH024,2018,15796.8,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH025,2011,3482.12,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH025,2012,3638.43,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH025,2013,3742.35,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH025,2014,3891.1,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH025,2015,4306.94,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH025,2016,4232.62,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH025,2017,4255.11,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH025,2018,4271.57,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH031,2011,24999.55,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH031,2012,25876.81,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH031,2013,25326.72,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH031,2014,26212.22,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH031,2015,30443.49,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH031,2016,31851.37,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH031,2017,33098.84,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH031,2018,33107.62,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH032,2011,15230.27,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH032,2012,15535.35,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH032,2013,15507.98,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH032,2014,16231.5,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH032,2015,18367.13,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH032,2016,18002.71,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH032,2017,18233.8,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH032,2018,17855.89,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH033,2011,30948,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH033,2012,31921.08,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH033,2013,31964.77,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH033,2014,32852.47,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH033,2015,38027.12,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH033,2016,37676.42,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH033,2017,37389.34,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH033,2018,36898.55,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH040,2011,108513.71,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH040,2012,113852.15,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH040,2013,112094.06,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH040,2014,116115.59,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH040,2015,132376.63,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH040,2016,130717.3,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH040,2017,131076.73,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH040,2018,132982.68,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH051,2011,2061.43,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH051,2012,2106.87,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH051,2013,2148.51,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH051,2014,2218.18,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH051,2015,2500.87,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH051,2016,2456.02,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH051,2017,2520.9,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH051,2018,2375.23,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH052,2011,5342.79,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH052,2012,5536.06,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH052,2013,5513.12,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH052,2014,5560.09,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH052,2015,6366.04,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH052,2016,6403.67,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH052,2017,6243.55,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH052,2018,6261.65,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH053,2011,2399.78,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH053,2012,2463.36,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH053,2013,2487.32,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH053,2014,2567.04,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH053,2015,2830.88,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH053,2016,2803.83,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH053,2017,2764.31,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH053,2018,2747.08,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH054,2011,728.7,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH054,2012,754.33,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH054,2013,765.19,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH054,2014,809.57,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH054,2015,916.98,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH054,2016,915.87,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH054,2017,886.87,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH054,2018,882.38,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH055,2011,27940.42,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH055,2012,28733.53,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH055,2013,28852.83,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH055,2014,29750.97,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH055,2015,33583.33,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH055,2016,33473.14,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH055,2017,33078.38,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH055,2018,32564.53,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH056,2011,10649.16,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH056,2012,11013.38,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH056,2013,11028.75,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH056,2014,11302.94,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH056,2015,12972.3,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH056,2016,12824.43,
ESTAT:NAMA_10R_3GVA(1.0),2/8/2023 23:00,A,MIO_EUR,TOTAL,CH056,2017,12389.44,
