DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,POP,OBS_FLAG
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH011,2014,755.41,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH011,2015,767.43,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH011,2016,779.11,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH011,2017,788.98,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH011,2018,796.14,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH011,2019,802.12,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH012,2014,329.39,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH012,2015,333.73,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH012,2016,337.44,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH012,2017,340.32,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH012,2018,342.71,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH012,2019,344.74,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH013,2014,473.41,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH013,2015,481.06,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH013,2016,487.13,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH013,2017,492.39,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH013,2018,497.36,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH013,2019,501.8,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH021,2014,1005.35,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH021,2015,1013.45,
ESTAT:NAMA_10R_3POPGDP(1.0),2/8/2023 23:00,A,THS,CH021,2016,1022,
